Time,NodeId,CO2Concentration,Temperature,SmokeConcentration,X,Y,Z
1720510697815,3,449,3200,0,333,333,333
1720510698112,5,400,3106,0,555,555,555
1720510698928,1,695,3181,0,1,1,1
1720510699800,2,400,3250,0,222,222,222
1720510700716,4,552,3212,0,444,444,444
1720510700912,3,490,3200,0,333,333,333
1720510701184,5,400,3106,0,555,555,555
1720510701998,1,400,3181,0,1,1,1
1720510702871,2,474,3250,0,222,222,222
1720510703794,4,620,3212,0,444,444,444
1720510703985,3,424,3206,0,333,333,333
1720510704260,5,400,3112,0,555,555,555
1720510705073,1,401,3181,0,1,1,1
1720510705941,2,507,3250,0,222,222,222
1720510706874,4,700,3212,0,444,444,444
1720510707063,3,498,3206,0,333,333,333
1720510707341,5,443,3106,0,555,555,555
1720510708186,1,632,3181,0,1,1,1
1720510709010,2,443,3250,0,222,222,222
1720510709951,4,767,3212,0,444,444,444
1720510710131,3,579,3206,0,333,333,333
1720510710415,5,661,3112,0,555,555,555
1720510711231,1,710,3187,0,1,1,1
1720510712080,2,575,3250,0,222,222,222
1720510713027,4,642,3212,0,444,444,444
1720510713213,3,483,3212,0,333,333,333
1720510713503,5,594,3112,0,555,555,555
1720510714324,1,759,3181,0,1,1,1
1720510715151,2,492,3250,0,222,222,222
1720510716120,4,671,3212,0,444,444,444
1720510716285,3,574,3206,0,333,333,333
1720510716565,5,592,3112,0,555,555,555
1720510717401,1,718,3181,0,1,1,1
1720510718223,2,457,3250,0,222,222,222
1720510719177,4,785,3212,0,444,444,444
1720510719368,3,605,3206,0,333,333,333
1720510719649,5,548,3112,0,555,555,555
1720510720494,1,510,3187,0,1,1,1
1720510721291,2,475,3250,0,222,222,222
1720510722264,4,699,3212,0,444,444,444
1720510722439,3,511,3206,0,333,333,333
1720510722736,5,714,3112,0,555,555,555
1720510723549,1,450,3187,0,1,1,1
1720510724360,2,551,3250,0,222,222,222
1720510725336,4,616,3212,0,444,444,444
1720510725521,3,471,3206,41,333,333,333
1720510725815,5,618,3112,0,555,555,555
1720510726626,1,552,3187,0,1,1,1
1720510727432,2,537,3243,0,222,222,222
1720510728412,4,658,3212,0,444,444,444
1720510728614,3,601,3206,0,333,333,333
1720510728890,5,807,3112,0,555,555,555
1720510729706,1,406,3187,0,1,1,1
1720510730511,2,498,3243,0,222,222,222
1720510731491,4,666,3212,0,444,444,444
1720510731670,3,556,3212,0,333,333,333
1720510731963,5,729,3112,0,555,555,555
1720510732780,1,400,3187,0,1,1,1
1720510733581,2,438,3243,0,222,222,222
1720510734564,4,855,3218,0,444,444,444
1720510734774,3,612,3206,0,333,333,333
1720510735040,5,416,3112,0,555,555,555
1720510735863,1,400,3181,0,1,1,1
1720510736653,2,469,3243,0,222,222,222
1720510737642,4,589,3218,0,444,444,444
1720510737827,3,646,3206,0,333,333,333
1720510738117,5,456,3118,0,555,555,555
1720510738933,1,497,3181,0,1,1,1
1720510739721,2,532,3243,0,222,222,222
1720510740720,4,859,3212,0,444,444,444
1720510740905,3,671,3206,0,333,333,333
1720510741191,5,452,3112,0,555,555,555
1720510742011,1,571,3181,0,1,1,1
1720510742792,2,561,3243,0,222,222,222
1720510743797,4,823,3212,0,444,444,444
1720510743982,3,567,3206,0,333,333,333
1720510744283,5,479,3118,0,555,555,555
1720510745099,1,579,3181,0,1,1,1
1720510745863,2,550,3243,0,222,222,222
1720510746872,4,780,3212,0,444,444,444
1720510747058,3,489,3200,0,333,333,333
1720510747350,5,682,3112,0,555,555,555
1720510748176,1,655,3187,0,1,1,1
1720510748934,2,581,3243,0,222,222,222
1720510749960,4,562,3212,0,444,444,444
1720510750135,3,501,3200,0,333,333,333
1720510750427,5,639,3112,0,555,555,555
1720510751242,1,603,3181,0,1,1,1
1720510752006,2,630,3243,0,222,222,222
1720510753036,4,510,3212,0,444,444,444
1720510753217,3,634,3200,0,333,333,333
1720510753500,5,448,3112,0,555,555,555
1720510754320,1,594,3187,0,1,1,1
1720510755078,2,610,3243,0,222,222,222
1720510756106,4,693,3206,0,444,444,444
1720510756293,3,648,3200,0,333,333,333
1720510756576,5,400,3118,0,555,555,555
1720510757397,1,642,3187,0,1,1,1
1720510758145,2,667,3243,0,222,222,222
1720510759180,4,748,3206,0,444,444,444
1720510759368,3,584,3200,0,333,333,333
1720510759655,5,492,3118,0,555,555,555
1720510760474,1,787,3187,0,1,1,1
1720510761210,2,731,3243,0,222,222,222
1720510762257,4,675,3206,0,444,444,444
1720510762452,3,532,3200,0,333,333,333
1720510762730,5,683,3112,0,555,555,555
1720510763549,1,810,3187,0,1,1,1
1720510764280,2,720,3243,0,222,222,222
1720510765344,4,665,3206,0,444,444,444
1720510765524,3,551,3200,0,333,333,333
1720510765806,5,706,3118,0,555,555,555
1720510766627,1,764,3187,0,1,1,1
1720510767350,2,680,3243,0,222,222,222
1720510768414,4,490,3200,0,444,444,444
1720510768602,3,608,3200,0,333,333,333
1720510768887,5,531,3118,0,555,555,555
1720510769705,1,632,3187,0,1,1,1
1720510770420,2,693,3243,0,222,222,222
1720510771492,4,503,3200,0,444,444,444
1720510771676,3,567,3200,0,333,333,333
1720510771959,5,400,3118,0,555,555,555
1720510772779,1,618,3193,0,1,1,1
1720510773490,2,761,3237,0,222,222,222
1720510774566,4,652,3200,0,444,444,444
1720510774763,3,466,3200,0,333,333,333
1720510775034,5,611,3118,0,555,555,555
1720510775862,1,716,3193,0,1,1,1
1720510776559,2,621,3243,0,222,222,222
1720510777647,4,739,3200,0,444,444,444
1720510777834,3,525,3200,0,333,333,333
1720510778120,5,720,3118,0,555,555,555
1720510778948,1,809,3193,0,1,1,1
1720510779630,2,732,3243,0,222,222,222
1720510780720,4,629,3200,0,444,444,444
1720510780916,3,664,3206,0,333,333,333
1720510781187,5,784,3118,0,555,555,555
1720510782014,1,653,3193,0,1,1,1
1720510782700,2,749,3243,0,222,222,222
1720510783814,4,558,3200,0,444,444,444
1720510783987,3,566,3206,0,333,333,333
1720510784264,5,806,3118,0,555,555,555
1720510785090,1,979,3193,0,1,1,1
1720510785771,2,697,3243,0,222,222,222
1720510786887,4,626,3200,0,444,444,444
1720510787063,3,449,3200,0,333,333,333
1720510787342,5,687,3118,0,555,555,555
1720510788165,1,811,3200,0,1,1,1
1720510788841,2,683,3243,0,222,222,222
1720510789966,4,539,3206,0,444,444,444
1720510790140,3,459,3200,0,333,333,333
1720510790416,5,584,3118,0,555,555,555
1720510791249,1,676,3193,0,1,1,1
1720510791909,2,582,3243,0,222,222,222
1720510793047,4,652,3206,0,444,444,444
1720510793231,3,400,3200,0,333,333,333
1720510793507,5,609,3118,0,555,555,555
1720510794324,1,884,3193,0,1,1,1
1720510794979,2,595,3250,0,222,222,222
1720510796120,4,587,3212,0,444,444,444
1720510796311,3,453,3193,0,333,333,333
1720510796570,5,462,3118,0,555,555,555
1720510797399,1,678,3193,0,1,1,1
1720510798050,2,575,3250,0,222,222,222
1720510799194,4,488,3218,0,444,444,444
1720510799392,3,400,3200,0,333,333,333
1720510799650,5,454,3118,0,555,555,555
1720510800475,1,694,3200,0,1,1,1
1720510801120,2,583,3250,0,222,222,222
1720510802302,4,521,3225,0,444,444,444
1720510802459,3,400,3200,0,333,333,333
1720510802725,5,400,3118,0,555,555,555
1720510803551,1,615,3200,0,1,1,1
1720510804191,2,484,3256,0,222,222,222
1720510805359,4,485,3225,0,444,444,444
1720510805535,3,422,3200,0,333,333,333
1720510805800,5,400,3125,0,555,555,555
1720510806642,1,448,3200,0,1,1,1
1720510807262,2,492,3256,0,222,222,222
1720510808431,4,443,3225,0,444,444,444
1720510808615,3,449,3193,0,333,333,333
1720510808879,5,406,3125,0,555,555,555
1720510809720,1,478,3200,0,1,1,1
1720510810331,2,446,3256,0,222,222,222
1720510811505,4,481,3231,0,444,444,444
1720510811693,3,400,3193,0,333,333,333
1720510811953,5,463,3125,0,555,555,555
1720510812800,1,585,3200,0,1,1,1
1720510813412,2,488,3256,0,222,222,222
1720510814578,4,508,3231,0,444,444,444
1720510814767,3,400,3200,0,333,333,333
1720510815042,5,424,3125,0,555,555,555
1720510815870,1,469,3200,0,1,1,1
1720510816472,2,527,3256,0,222,222,222
1720510817657,4,400,3225,0,444,444,444
1720510817851,3,400,3193,0,333,333,333
1720510818117,5,428,3131,0,555,555,555
1720510818947,1,425,3206,0,1,1,1
1720510819544,2,430,3262,0,222,222,222
1720510820734,4,400,3218,0,444,444,444
1720510820928,3,400,3187,0,333,333,333
1720510821192,5,487,3131,0,555,555,555
1720510822024,1,620,3212,0,1,1,1
1720510822621,2,400,3262,0,222,222,222
1720510823808,4,497,3225,0,444,444,444
1720510824001,3,470,3187,0,333,333,333
1720510824273,5,514,3131,0,555,555,555
1720510825101,1,748,3206,0,1,1,1
1720510825692,2,400,3256,0,222,222,222
1720510826888,4,424,3225,0,444,444,444
1720510827089,3,411,3187,0,333,333,333
1720510827349,5,566,3137,0,555,555,555
1720510828180,1,719,3212,0,1,1,1
1720510828760,2,424,3250,0,222,222,222
1720510829965,4,561,3225,0,444,444,444
1720510830154,3,400,3187,0,333,333,333
1720510830423,5,497,3131,0,555,555,555
1720510831266,1,729,3212,0,1,1,1
1720510831832,2,400,3256,0,222,222,222
1720510833039,4,410,3231,0,444,444,444
1720510833229,3,400,3187,0,333,333,333
1720510833500,5,438,3137,0,555,555,555
1720510834338,1,602,3212,0,1,1,1
1720510834904,2,445,3262,0,222,222,222
1720510836116,4,400,3225,0,444,444,444
1720510836316,3,412,3187,0,333,333,333
1720510836579,5,400,3137,0,555,555,555
1720510837411,1,545,3218,0,1,1,1
1720510837980,2,489,3262,0,222,222,222
1720510839209,4,400,3225,0,444,444,444
1720510839392,3,400,3187,0,333,333,333
1720510839672,5,400,3137,0,555,555,555
1720510840485,1,539,3218,0,1,1,1
1720510841048,2,527,3262,0,222,222,222
1720510842277,4,400,3225,0,444,444,444
1720510842461,3,430,3187,0,333,333,333
1720510842735,5,400,3137,0,555,555,555
1720510843562,1,571,3225,0,1,1,1
1720510844124,2,491,3262,0,222,222,222
1720510845350,4,424,3225,0,444,444,444
1720510845539,3,504,3193,0,333,333,333
1720510845809,5,482,3137,0,555,555,555
1720510846642,1,597,3218,0,1,1,1
1720510847181,2,576,3262,0,222,222,222
1720510848426,4,472,3225,0,444,444,444
1720510848633,3,407,3193,0,333,333,333
1720510848884,5,465,3137,0,555,555,555
1720510849715,1,609,3218,0,1,1,1
1720510850248,2,534,3262,0,222,222,222
1720510851500,4,452,3225,0,444,444,444
1720510851706,3,571,3193,0,333,333,333
1720510851962,5,594,3143,0,555,555,555
1720510852801,1,609,3225,0,1,1,1
1720510853320,2,648,3262,0,222,222,222
1720510854578,4,463,3225,0,444,444,444
1720510854773,3,562,3193,0,333,333,333
1720510855039,5,711,3137,0,555,555,555
1720510855869,1,697,3218,0,1,1,1
1720510856393,2,651,3262,0,222,222,222
1720510857654,4,446,3225,0,444,444,444
1720510857852,3,446,3193,0,333,333,333
1720510858111,5,668,3143,0,555,555,555
1720510858948,1,899,3225,0,1,1,1
1720510859462,2,611,3262,0,222,222,222
1720510860732,4,511,3231,0,444,444,444
1720510860931,3,520,3200,0,333,333,333
1720510861195,5,631,3137,0,555,555,555
1720510862023,1,732,3225,0,1,1,1
1720510862530,2,572,3262,0,222,222,222
1720510863812,4,666,3237,0,444,444,444
1720510864003,3,621,3193,0,333,333,333
1720510864263,5,495,3143,0,555,555,555
1720510865101,1,745,3225,0,1,1,1
1720510865599,2,488,3262,0,222,222,222
1720510866885,4,601,3231,0,444,444,444
1720510867084,3,559,3193,0,333,333,333
1720510867341,5,693,3143,0,555,555,555
1720510868184,1,716,3225,0,1,1,1
1720510868669,2,444,3262,0,222,222,222
1720510869973,4,572,3237,0,444,444,444
1720510870158,3,545,3193,0,333,333,333
1720510870418,5,806,3137,0,555,555,555
1720510871261,1,606,3218,0,1,1,1
1720510871739,2,565,3262,0,222,222,222
1720510873045,4,518,3237,0,444,444,444
1720510873244,3,457,3200,0,333,333,333
1720510873494,5,805,3137,0,555,555,555
1720510874338,1,1102,3218,0,1,1,1
1720510874809,2,565,3262,0,222,222,222
1720510876132,4,624,3237,0,444,444,444
1720510876322,3,535,3200,0,333,333,333
1720510876584,5,569,3137,0,555,555,555
1720510877408,1,904,3225,0,1,1,1
1720510877886,2,547,3262,0,222,222,222
1720510879206,4,540,3237,0,444,444,444
1720510879395,3,620,3200,0,333,333,333
1720510879654,5,562,3137,0,555,555,555
1720510880486,1,764,3225,0,1,1,1
1720510880952,2,611,3262,0,222,222,222
1720510882280,4,637,3243,0,444,444,444
1720510882467,3,506,3200,0,333,333,333
1720510882724,5,615,3137,0,555,555,555
1720510883562,1,640,3225,0,1,1,1
1720510884019,2,467,3262,0,222,222,222
1720510885358,4,715,3243,0,444,444,444
1720510885556,3,719,3200,0,333,333,333
1720510885802,5,602,3143,0,555,555,555
1720510886644,1,763,3225,0,1,1,1
1720510887090,2,512,3262,0,222,222,222
1720510888436,4,627,3243,0,444,444,444
1720510888637,3,680,3200,0,333,333,333
1720510888877,5,624,3143,0,555,555,555
1720510889715,1,719,3225,0,1,1,1
1720510890172,2,577,3262,0,222,222,222
1720510891515,4,662,3243,0,444,444,444
1720510891710,3,668,3206,0,333,333,333
1720510891955,5,493,3143,0,555,555,555
1720510892792,1,772,3225,0,1,1,1
1720510893230,2,559,3262,0,222,222,222
1720510894591,4,712,3243,0,444,444,444
1720510894788,3,485,3206,0,333,333,333
1720510895038,5,448,3143,0,555,555,555
1720510895876,1,650,3225,0,1,1,1
1720510896300,2,580,3262,0,222,222,222
1720510897662,4,688,3243,0,444,444,444
1720510897867,3,496,3206,0,333,333,333
1720510898108,5,501,3143,0,555,555,555
1720510898960,1,601,3225,0,1,1,1
1720510899369,2,589,3262,0,222,222,222
1720510900748,4,575,3243,0,444,444,444
1720510900946,3,531,3200,0,333,333,333
1720510901186,5,531,3150,0,555,555,555
1720510902034,1,501,3225,0,1,1,1
1720510902439,2,613,3275,0,222,222,222
1720510903824,4,652,3243,0,444,444,444
1720510904023,3,624,3200,0,333,333,333
1720510904264,5,423,3150,0,555,555,555
1720510905115,1,512,3231,0,1,1,1
1720510905510,2,603,3275,0,222,222,222
1720510906900,4,653,3243,0,444,444,444
1720510907095,3,687,3200,0,333,333,333
1720510907351,5,573,3150,0,555,555,555
1720510908193,1,837,3231,0,1,1,1
1720510908582,2,558,3275,0,222,222,222
1720510909971,4,607,3243,0,444,444,444
1720510910174,3,741,3200,0,333,333,333
1720510910430,5,481,3150,0,555,555,555
1720510911265,1,714,3231,0,1,1,1
1720510911650,2,613,3275,0,222,222,222
1720510913050,4,592,3250,0,444,444,444
1720510913251,3,557,3206,0,333,333,333
1720510913511,5,432,3156,0,555,555,555
1720510914348,1,769,3231,0,1,1,1
1720510914730,2,600,3275,0,222,222,222
1720510916127,4,761,3250,0,444,444,444
1720510916331,3,694,3206,0,333,333,333
1720510916582,5,448,3156,0,555,555,555
1720510917423,1,469,3231,0,1,1,1
1720510917800,2,581,3281,0,222,222,222
1720510919201,4,667,3250,0,444,444,444
1720510919402,3,754,3206,0,333,333,333
1720510919662,5,760,3156,0,555,555,555
1720510920496,1,764,3237,0,1,1,1
1720510920871,2,606,3281,0,222,222,222
1720510922279,4,606,3250,0,444,444,444
1720510922493,3,574,3206,0,333,333,333
1720510922735,5,506,3150,0,555,555,555
1720510923588,1,780,3237,0,1,1,1
1720510923940,2,564,3281,0,222,222,222
1720510925354,4,641,3250,0,444,444,444
1720510925556,3,551,3206,0,333,333,333
1720510925814,5,427,3156,0,555,555,555
1720510926661,1,856,3237,0,1,1,1
1720510927014,2,615,3287,0,222,222,222
1720510928432,4,636,3256,0,444,444,444
1720510928649,3,553,3206,0,333,333,333
1720510928890,5,415,3156,0,555,555,555
1720510929731,1,719,3243,0,1,1,1
1720510930084,2,629,3287,0,222,222,222
1720510931518,4,729,3256,0,444,444,444
1720510931716,3,547,3206,0,333,333,333
1720510931966,5,418,3156,0,555,555,555
1720510932805,1,749,3243,0,1,1,1
1720510933155,2,598,3293,0,222,222,222
1720510934588,4,705,3256,0,444,444,444
1720510934792,3,530,3206,0,333,333,333
1720510935051,5,551,3162,0,555,555,555
1720510935881,1,846,3243,0,1,1,1
1720510936227,2,639,3293,0,222,222,222
1720510937664,4,577,3256,0,444,444,444
1720510937870,3,527,3206,0,333,333,333
1720510938126,5,660,3162,0,555,555,555
1720510938961,1,993,3256,0,1,1,1
1720510939297,2,671,3293,0,222,222,222
1720510940738,4,717,3256,0,444,444,444
1720510940938,3,542,3206,0,333,333,333
1720510941195,5,633,3162,0,555,555,555
1720510942038,1,694,3250,0,1,1,1
1720510942371,2,704,3300,0,222,222,222
1720510943813,4,617,3256,0,444,444,444
1720510944015,3,487,3206,0,333,333,333
1720510944276,5,522,3162,0,555,555,555
1720510945115,1,934,3256,0,1,1,1
1720510945430,2,703,3300,0,222,222,222
1720510946890,4,512,3256,0,444,444,444
1720510947091,3,533,3206,0,333,333,333
1720510947347,5,464,3168,0,555,555,555
1720510948187,1,632,3250,0,1,1,1
1720510948499,2,788,3293,0,222,222,222
1720510949977,4,488,3256,0,444,444,444
1720510950181,3,526,3206,0,333,333,333
1720510950424,5,463,3168,0,555,555,555
1720510951264,1,652,3256,0,1,1,1
1720510951570,2,624,3293,0,222,222,222
1720510953051,4,539,3256,0,444,444,444
1720510953247,3,531,3206,0,333,333,333
1720510953503,5,453,3162,0,555,555,555
1720510954345,1,551,3250,0,1,1,1
1720510954639,2,604,3300,0,222,222,222
1720510956122,4,688,3256,0,444,444,444
1720510956332,3,747,3212,0,333,333,333
1720510956581,5,621,3162,0,555,555,555
1720510957422,1,711,3250,0,1,1,1
1720510957710,2,603,3300,0,222,222,222
1720510959199,4,603,3256,0,444,444,444
1720510959408,3,738,3206,0,333,333,333
1720510959658,5,455,3168,0,555,555,555
1720510960496,1,747,3256,0,1,1,1
1720510960781,2,668,3300,0,222,222,222
1720510962276,4,485,3256,0,444,444,444
1720510962482,3,763,3212,0,333,333,333
1720510962734,5,432,3168,0,555,555,555
1720510963570,1,696,3256,0,1,1,1
1720510963849,2,715,3300,0,222,222,222
1720510965367,4,511,3256,0,444,444,444
1720510965573,3,741,3212,0,333,333,333
1720510965815,5,539,3168,0,555,555,555
1720510966647,1,778,3262,0,1,1,1
1720510966932,2,672,3300,0,222,222,222
1720510968442,4,455,3256,0,444,444,444
1720510968639,3,787,3212,0,333,333,333
1720510968893,5,484,3168,0,555,555,555
1720510969724,1,642,3262,0,1,1,1
1720510969989,2,615,3300,0,222,222,222
1720510971519,4,451,3250,0,444,444,444
1720510971712,3,793,3212,0,333,333,333
1720510971982,5,524,3168,0,555,555,555
1720510972801,1,570,3268,0,1,1,1
1720510973060,2,616,3300,0,222,222,222
1720510974599,4,422,3250,0,444,444,444
1720510974787,3,652,3212,0,333,333,333
1720510975043,5,514,3168,0,555,555,555
1720510975883,1,654,3275,0,1,1,1
1720510976131,2,723,3306,0,222,222,222
1720510977673,4,434,3250,0,444,444,444
1720510977874,3,658,3218,0,333,333,333
1720510978118,5,623,3168,0,555,555,555
1720510978955,1,621,3268,0,1,1,1
1720510979203,2,821,3306,0,222,222,222
1720510980752,4,498,3250,0,444,444,444
1720510980953,3,654,3218,0,333,333,333
1720510981197,5,727,3175,0,555,555,555
1720510982034,1,611,3275,0,1,1,1
1720510982268,2,825,3300,0,222,222,222
1720510983827,4,712,3250,0,444,444,444
1720510984029,3,548,3218,0,333,333,333
1720510984277,5,773,3168,0,555,555,555
1720510985112,1,1028,3275,0,1,1,1
1720510985340,2,888,3300,0,222,222,222
1720510986909,4,576,3250,0,444,444,444
1720510987114,3,671,3225,0,333,333,333
1720510987349,5,780,3168,0,555,555,555
1720510988207,1,1394,3281,0,1,1,1
1720510988410,2,894,3306,0,222,222,222
1720510989986,4,535,3250,0,444,444,444
1720510990187,3,643,3225,0,333,333,333
1720510990432,5,1372,3175,0,555,555,555
1720510991275,1,570,3281,0,1,1,1
1720510991478,2,1146,3306,0,222,222,222
1720510993062,4,638,3250,0,444,444,444
1720510993262,3,675,3225,0,333,333,333
1720510993505,5,742,3175,0,555,555,555
1720510994352,1,1017,3281,0,1,1,1
1720510994550,2,937,3306,0,222,222,222
1720510996134,4,480,3250,0,444,444,444
1720510996343,3,710,3225,0,333,333,333
1720510996582,5,696,3175,0,555,555,555
1720510997429,1,686,3287,0,1,1,1
1720510997619,2,995,3306,0,222,222,222
1720510999213,4,453,3250,0,444,444,444
1720510999417,3,775,3225,0,333,333,333
1720510999672,5,666,3175,0,555,555,555
1720511000506,1,605,3287,0,1,1,1
1720511000690,2,784,3306,0,222,222,222
1720511002287,4,425,3250,0,444,444,444
1720511002489,3,717,3225,0,333,333,333
1720511002750,5,757,3175,0,555,555,555
1720511003583,1,487,3293,0,1,1,1
1720511003763,2,821,3306,0,222,222,222
1720511005368,4,413,3250,0,444,444,444
1720511005569,3,739,3231,0,333,333,333
1720511005829,5,687,3175,0,555,555,555
1720511006665,1,795,3293,0,1,1,1
1720511006840,2,841,3306,0,222,222,222
1720511008443,4,402,3243,0,444,444,444
1720511008641,3,840,3231,0,333,333,333
1720511008903,5,532,3175,0,555,555,555
1720511009737,1,583,3293,0,1,1,1
1720511009911,2,759,3300,0,222,222,222
1720511011519,4,400,3243,0,444,444,444
1720511011722,3,737,3231,0,333,333,333
1720511011979,5,532,3181,0,555,555,555
1720511012820,1,536,3300,0,1,1,1
1720511012979,2,841,3300,0,222,222,222
1720511014596,4,400,3243,0,444,444,444
1720511014800,3,741,3231,0,333,333,333
1720511015056,5,653,3181,0,555,555,555
1720511015896,1,785,3306,0,1,1,1
1720511016051,2,806,3306,0,222,222,222
1720511017673,4,573,3243,0,444,444,444
1720511017873,3,685,3237,0,333,333,333
1720511018133,5,707,3181,0,555,555,555
1720511018968,1,884,3300,0,1,1,1
1720511019119,2,821,3300,0,222,222,222
1720511020750,4,752,3243,0,444,444,444
1720511020956,3,689,3237,0,333,333,333
1720511021224,5,617,3181,0,555,555,555
1720511022049,1,937,3312,0,1,1,1
1720511022198,2,643,3300,0,222,222,222
1720511023836,4,898,3250,0,444,444,444
1720511024025,3,669,3243,0,333,333,333
1720511024293,5,610,3181,0,555,555,555
1720511025122,1,583,3312,0,1,1,1
1720511025271,2,664,3306,0,222,222,222
1720511026910,4,680,3250,0,444,444,444
1720511027110,3,668,3243,0,333,333,333
1720511027365,5,626,3181,0,555,555,555
1720511028203,1,760,3312,0,1,1,1
